match_id	CLK1	CLK2	CLK3	CLK4	SRPK1	SRPK2	SRPK3	SRSF1	SRSF10	SRSF11	SRSF2	SRSF3	SRSF4	SRSF5	SRSF6	SRSF7	SRSF8	SRSF9	SRPK1 	SRPK2 	SRSF1 	SRSF10 	SRSF11 	SRSF2 	SRSF3 	SRSF4 	SRSF5 	SRSF6 	SRSF7 	SRSF8 	SRSF9 	SRPK1-S51	SRPK2-T41	SRSF1-S199	SRSF10-S131;S133;	SRSF10-S133	SRSF10-S156;S158;	SRSF10-S156;S158;S160;	SRSF10-S157	SRSF10-S158	SRSF10-S23	SRSF10-S252	SRSF11-S207	SRSF11-S440	SRSF11-S455	SRSF11-S462	SRSF11-S489	SRSF2-S101	SRSF2-S189;S191;	SRSF2-S191	SRSF2-S208	SRSF2-S208;S221;	SRSF2-S212	SRSF2-S221	SRSF2-S26	SRSF2-T25	SRSF3-S5	SRSF5-S233	SRSF6-S303	SRSF6-S314;S316;	SRSF8-S158	SRSF8-S191	SRSF8-S26	SRSF8-S273	SRSF8-S273;S282;	SRSF8-S282	SRSF9-S204	SRSF9-S211	SRSF9-S211;S216;	SRSF9-S216	Kids_First_Biospecimen_ID	IncLevel1	CLK1_201
PT_0DXHDZJR_7316-2857_Solid Tissue_Initial CNS Tumor	2.5777309314900805	3.3978029618624896	3.8982083525087177	2.0461417816447205	2.4356285940520905	5.679761573516853	-6.643856189774724	4.562547724199122	4.033863451866284	4.361768359419154	5.445594291341182	5.848247352704505	4.60229058486114	5.714795011118162	4.75702324650746	4.889960199658641	1.8953026213333068	5.835671479481623	0.15645673897640003	3.244852324542281	1.3923351835989453	2.17138502056699	1.230520544473611	0.015821223412153432	0.7022677949026509	2.0537966252342215	-0.39263592012939236	0.7947845773456191	1.509884298576022	-0.5416431864526596	2.2106719021684484	1.0517808741386885	-0.5630357392990295	0.6654908408231713	0.4903830635410942	1.0551093307733683	2.2793582460110744	2.3190515734830446	-0.6028451998731844	1.237697033234548	1.724611208953698	1.2463632884751277	0.8216054547898274	1.204507900931621	0.992839853954538	1.1414369422608162	0.39674525082534007	-0.8721942799291865	0.5397684156457598	-0.100277336785878	0.17176133793355997	0.1772350699661029	0.002936914417647621	-0.5208610716603271	1.2494870234582742	1.1170700943475573	2.3579187943885014	0.42274396360508204	-0.23040968535265788	0.10891400965333685	-0.02781805390133713	2.4920695392338628	0.678126409526248	0.17800828156869997	0.8610592917620072	1.0429568086193373	0.4769432002398151	1.450988466158071	1.4658261758445807	-0.05867977395198376	BS_DS438CXE	0.57	0.25096157353321874
PT_0FGS6YME_7316-8811_Solid Tissue_Initial CNS Tumor	5.51443791382931	4.783456654360239	4.527946098908258	5.0522419811811385	4.1715271060388135	5.126807703142035	0.22650852980867975	5.817623257511431	5.297558281168186	6.408202344852179	5.897724470216444	6.0925457415435655	5.001802242633985	6.710944154575872	6.4252578719992135	4.956985924612576	3.550900664647523	5.838447592548458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_D6J2BGDJ	0.645	2.3950627995175777
PT_0SPKM4S8_7316-2640_Solid Tissue_Initial CNS Tumor	4.984133594540979	4.428276414392509	4.604664415163704	3.581351247168777	3.533563348214512	4.532316959332765	0.22650852980867975	5.429950657403768	4.94673086014031	6.035843815994525	5.409390936137702	6.075318692553354	4.880685525261125	6.616769366293503	5.559491813205038	4.778208576398088	3.1076878693143732	5.620879611355415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_FX2P2WEG	0.8859999999999999	2.1858665453113337
PT_18QG3Z4H_7316-1052_Solid Tissue_Initial CNS Tumor	3.221877081077034	3.8914191868460786	3.8933622107638715	2.15704371014558	2.8011586560936985	4.900625332536066	-2.736965594166206	5.018812185742817	4.636334602442182	5.046578366620329	5.401220862160216	6.088523256616632	4.724650271732967	5.648465443027314	5.3269687115878925	4.428276414392509	4.076388068512841	5.459103696135399	0.8767889520744054	1.168340467379387	0.703566837122637	1.1265739000828148	0.5287343889124588	0.773614934718393	0.8488088814696281	1.4525607056143965	1.6057454341836992	0.9449167825468991	1.1250036766654	1.5649393442260842	0.847949232764002	-0.3967855701895999	0.924102073880333	0.2513189385905942	1.1606147154766533	0.580108268568046	-0.7074971494482244	-1.1223697177755698	0.7291652291985641	0.3177430046191049	1.126514540511296	0.5732291900143061	0.7639653140211967	1.7410652667089728	0.7702449454740622	-0.005981780343282804	0.28485394605610165	-0.3503187461104855	-0.5925199890601863	-0.4104482836791428	-0.6590877988255149	-0.3145304418630256	-0.8130723898959263	1.8059712450875993	0.9277779412346958	0.56194308968935	0.7389844577120896	-0.9124899208728844	-0.402389168906362	-1.058387860683764	0.2512955629986848	0.3917528651279964	1.469181633733236	0.4980036302026884	1.7563531564409915	2.249326228909656	-0.452573562059156	0.2633771612755132	0.7788846186091776	0.46663946589641614	BS_TGS109T3	0.49700000000000005	0.8155754288625726
PT_1FQFJ0V1_7316-5087_Solid Tissue_Initial CNS Tumor	2.9781956296816516	2.400537929583729	3.903038270112912	0.37851162325372983	2.584962500721156	4.649615459063409	-4.058893689053568	5.767389962065719	4.85897561429202	2.8972404255747994	5.301953395126096	4.2471680003747725	2.8135246892978105	3.929790997718597	5.375387026828883	4.204766750654613	4.076388068512841	6.3706874068072175	-1.201184505166756	-1.2087302258205221	-1.8376684738323714	-1.4063974928926999	-0.626294189620792	-1.0737737743088356	-1.0382353502022914	-0.9773698348857048	-1.8674220658424459	-0.22006365972904646	-1.2968377971974259	-1.4132613706370887	-1.085255678746964	-0.158835800110003	-0.5563360361282591	-1.0178005815795321	-1.5749293090052277	-0.5853207860080119	0.512817145890957	-1.1774874454264113	1.149343231437362	-0.0037545847288885073	-0.830651584424024	-1.0708110740237802	-0.41779604952265365	-0.06604354068172759	0.21099894368564323	0.3704861752956867	-0.4146410004143529	-1.1441180132859672	-1.5999214111229179	-1.5801582068198676	-1.2985972603563145	-1.9715014798500747	-1.4752182794119364	-1.7858924446694189	-0.3797564078566308	-0.533630343571749	-0.3019296248414324	-0.7975313712973969	-0.36079947225628334	-1.623932824291253	0.4024933556742305	0.8196487195994079	-1.5781807200581222	-2.347338956992316	-1.416367756027442	-2.1544377790556544	-0.36548973632353565	-0.8678281079063931	-0.1999412720300545	1.087783747256822	BS_T2F48Z4E	0.794	1.4276061727818994
PT_2A5QN7QS_7316-10004_Solid Tissue_Initial CNS Tumor	6.568184151463825	3.576522137920503	4.853496703702325	4.319039815562536	4.3826672527450405	5.335569005556748	-3.643856189774725	5.858478390423273	6.236109889889632	6.6634869461102335	5.8346606579017255	6.399000148261131	5.157852169141737	7.024142345897803	5.890203466675639	5.443938115013176	3.578938713093386	6.181897643108388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_S6B9DVNS	0.953	4.7300964655954685
PT_2QZJ4T95_7316-715_Solid Tissue_Initial CNS Tumor	3.4449320489421824	2.807354922057604	3.258518924711301	1.2016338611696504	3.3909427728025427	4.626439136697315	-1.3584539709124763	5.536674617569758	4.8529975876133165	4.567423757707283	5.71699089440494	6.456806149230474	4.526694845541976	5.724923070266613	5.184280294419382	4.951867504326902	2.5921580021253603	5.79025073883523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_B1C6GZ84	0.718	1.7612852733616193
PT_30H1KV15_7316-1059_Solid Tissue_Initial CNS Tumor	4.740927560318628	4.424250286084049	3.838951766951943	2.7990873060740036	2.37851162325373	4.137503523749935	-0.21759143507262677	5.048759311919856	4.126807703142035	5.097610796626422	5.646738698307846	5.749266083814806	4.207892851641333	6.085976949073639	5.550900664647523	4.519164449806069	3.250961573533219	5.354381632113322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_C41DJZ1F	0.948	2.0942360698457656
PT_37B5JRP1_7316-2217_Solid Tissue_Initial CNS Tumor	4.067810783789621	3.465974464504069	3.130930869826449	2.584962500721156	1.6825732973475784	4.38404980679516	-1.286304185156641	5.204766750654613	4.325530331567558	4.813524689297811	5.209843230525496	5.582857034844238	4.598126959919604	5.712870867689905	4.429615964201735	4.38543103719352	2.9354597478052895	4.979110755015785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_M0QYNVK8	0.727	2.1731274334806563
PT_387VK1T9_7316-3625_Solid Tissue_Initial CNS Tumor	4.37920505996061	3.7803100990433753	3.486714373030702	3.1667154449664223	2.350497247084133	3.496973580998276	-2.321928094887362	4.794415866350106	4.1651079851445365	5.233811384293157	5.292781749227846	5.6915341649192	3.62760683812965	6.136888607903066	5.257387842692652	4.287620044112067	1.7865963618908067	5.581652530461277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_9XVACXP0	0.93	2.513490745588118
