SpliceID	dPSI	Uniprot	Type
AASS:122081499-122081595	0.213	mod_res	MXE
ACD:67657985-67658362	0.109	mod_res	MXE
ACTN4:38710256-38710342	0.113	mod_res	MXE
ACTN4:38710256-38710342	0.183	mod_res	MXE
AMBRA1:46508190-46508370	0.138	mod_res	MXE
AMBRA1:46508190-46508370	0.166	mod_res	MXE
APC:112754872-112755025	0.136	mod_res	MXE
ARHGAP11A-SCG5:32684559-32684669	0.136	mod_res	MXE
ARHGAP17:24935469-24935639	-0.104	mod_res	MXE
ARNT:150842423-150842468	-0.185	mod_res	MXE
BCL2L12:49667018-49667161	0.293	mod_res	MXE
BCL2L13:17655661-17655832	0.321	mod_res	MXE
CBLB:105670232-105670352	-0.231	mod_res	MXE
CCM2:45038252-45038426	-0.573	mod_res	MXE
CENPP:92332169-92332351	0.209	mod_res	MXE
CIZ1:128180720-128180799	0.111	mod_res	MXE
CRTC2:153953265-153953369	-0.104	mod_res	MXE
DAB2:39382617-39383271	-0.163	mod_res	MXE
DAB2:39382617-39383271	-0.316	mod_res	MXE
DCLK2:150248304-150248385	-0.102	mod_res	MXE
DENND2B:8726072-8726209	0.129	mod_res	MXE
DLG1:197194424-197194589	-0.125	mod_res	MXE
DNAJC15:43078611-43078688	-0.128	mod_res	MXE
DOCK7:62543655-62543745	0.119	mod_res	MXE
EIF2B5:184137619-184137805	-0.153	mod_res	MXE
EIF2B5:184137619-184138075	-0.148	mod_res	MXE
ENSG00000260643:81084462-81084594	0.294	mod_res	MXE
FABP6:160229545-160229624	-0.357	mod_res	MXE
FAM189B:155250275-155250821	0.171	mod_res	MXE
FHIP1B:6218557-6218763	-0.108	mod_res	MXE
HNRNPA2B1:26195846-26195909	-0.116	mod_res	MXE
INVS:100284319-100284603	0.143	mod_res	MXE
KAT7:49805362-49805445	-0.101	mod_res	MXE
KIF23:69440307-69440487	-0.118	mod_res	MXE
LAT:28985853-28985888	-0.118	mod_res	MXE
LSM14A:34208928-34209051	0.241	mod_res	MXE
LSM14B:62126225-62126439	-0.149	mod_res	MXE
MAP2:209692624-209696350	0.126	mod_res	MXE
MAP3K4:161048615-161049979	-0.126	mod_res	MXE
MAP4K4:101860824-101860986	-0.102	mod_res	MXE
MAP4K4:101860824-101860986	-0.105	mod_res	MXE
MAPK7:19380607-19382466	-0.138	mod_res	MXE
METTL26:634888-634956	-0.134	mod_res	MXE
