SpliceID	dPSI	Uniprot
SCD:100354427-100354632_100352365-100352496_100356531-100356764	0.999	Modifications
SEMA4G:100983305-100984357_100981167-100981229_100984489-100985616	0.99648275862069	Modifications
MRPL43:100983948-100984074_100983754-100983817_100987089-100987270	0.541854166666667	Modifications
LZTS2:101003507-101004166_100999475-101002946_101005457-101005715	0.951684210526316	Modifications
OGA:101800242-101800400_101798841-101799455_101803734-101804019	0.989014705882353	Modifications
PPRC1:102146672-102147392_102143044-102143098_102148371-102148521	0.910111111111111	Modifications
PPRC1:102146672-102147392_102144249-102144307_102148371-102148521	0.477363636363636	Modifications
PPRC1:102146672-102147392_102145019-102145090_102148371-102148521	0.93941935483871	Modifications
NOLC1:102158049-102158214_102152408-102152530_102159192-102159308	0.982833333333333	Modifications
NOLC1:102160233-102160343_102159895-102160024_102160451-102161093	0.991882352941176	Modifications
GBF1:102359267-102359435_102358505-102358729_102360183-102360395	0.995338235294118	Modifications
GBF1:102359270-102359435_102358505-102358729_102360183-102360395	0.997029411764705	Modifications
GBF1:102359270-102359435_102358505-102358729_102361021-102361120	0.994029411764706	Modifications
GBF1:102361718-102361912_102360183-102360395_102362474-102362628	0.986632352941176	Modifications
GBF1:102363227-102363396_102362474-102362664_102363709-102363798	0.970691176470588	Modifications
GBF1:102363256-102363396_102361021-102361120_102363709-102363798	0.998882352941177	Modifications
GBF1:102363256-102363396_102362474-102362628_102363709-102363798	0.999705882352941	Modifications
GBF1:102363256-102363396_102362474-102362664_102363709-102363798	0.986191176470588	Modifications
GBF1:102363256-102363396_102362474-102362664_102365396-102365599	0.997808823529412	Modifications
GBF1:102376272-102376432_102370706-102370860_102376559-102376784	0.999176470588235	Modifications
GBF1:102376272-102376432_102375358-102375584_102376559-102376784	0.999397058823529	Modifications
GBF1:102376310-102376432_102375358-102375584_102376559-102376800	0.998764705882353	Modifications
PSD:102405346-102405536_102405182-102405253_102407222-102407266	0.973724137931035	Modifications
ARL3:102705346-102705489_102699372-102699489_102714272-102714397	0.980153846153846	Modifications
ATP5MK:103392371-103392466_103392190-103392283_103396408-103396466	0.993714285714286	Modifications
PDCD11:103440734-103440850_103440289-103440581_103441825-103441975	0.981266666666667	Modifications
